,id_str,text,screen_name,location,country,created_at,first_hashtag
64,1388644400138526721,RT @PulpitHistorian: @creed_humphrey @TreySmith73 Here’s a helpful chart I made- Welcome to the Chiefs Kingdom! https://t.co/D0CqG44mxo,F1YE_,,,2021-05-01 23:59:59,
65,1388644400129925122,RT @PalmerReport: Mitt Romney getting booed to his face by the Utah GOP is why the republicans are so damn beatable in 2022. They’re a hope…,truth_n_fact,,,2021-05-01 23:59:59,
66,1388644400088158210,"RT @wawinaApr: A sweet pup protects and patiently guides his blind brother so he can safely go down the stairs ❤ 

(vid by millie) https://…",CitlalyMeraz,,,2021-05-01 23:59:59,
67,1388644400042057735,"RT @newrossstreetf1: TRADITION MAINTAINED 

A vibrant #MayBush adorns the Bearna Baoil today beneath bratacha na hÉireann agus Laighean.
Co…",SamMaguireGAA7s,,,2021-05-01 23:59:59,MayBush
68,1388644400041844738,[[ With someone she loves? A heckin’ thot in the sheets. ]],adra_ffxiv,,,2021-05-01 23:59:59,
69,1388644400025284609,"RT @Jitters_Box: alright fine fine ill do the list for mutuals- #anitwt

Like/Rt if you watch:
-ohshc
-jjk
-sk8 
-black clover
-mashiro no…",sexctitan,,,2021-05-01 23:59:59,anitwt
70,1388644400000024579,"RT @SportsCenter: A very good assistant GM 🐶

Bill Belichick's dog was back for the #NFLDraft

(via @Patriots) https://t.co/ODxtlUtfDH",TheJosephBarnes,,,2021-05-01 23:59:59,NFLDraft
71,1388644399941365760,"RT @GTWScar: We are blown away by the incredible support given to @SOS_Africa on today's stream! You raised over $100,000 towards helping p…",PuppetEliza,,,2021-05-01 23:59:59,
72,1388644399937171457,RT @realTuckFrumper: 'Jim Acosta for the win': CNN anchor praised for calling out Fox News as a BS factory https://t.co/wq6BukzFYQ,Nes1068,,,2021-05-01 23:59:59,
73,1388644399937069058,"RT @SinghPramod2784: Screenshots of 2 separate tweets is enough to suggest, certain people are playing a dirty game to malign the country 🤔…",yogidut,,,2021-05-01 23:59:59,
74,1388644399936987140,"@CoastalElite28 ... so, Gavin Newsom is facing a recall effort &amp; DeathSantis is contemplating a run for the Oval Of… https://t.co/3FCfUrc3PE",country_ca,,,2021-05-01 23:59:59,
75,1388644399911997443,"RT @360_trader: I’d rather die a couple years early having known the taste of a juicy quarter pounder

Then to live 2 years longer with a s…",BarretXRP,,,2021-05-01 23:59:59,
76,1388644399899414533,"RT @JosianaZs: The Brazilian people send a message to the world!
We support the President of Brazil 🇧🇷.
The Brazilian is supporting Jair Bo…",jcoreixas,,,2021-05-01 23:59:59,
77,1388644399823818752,"RT @TopDownHockey: Don Sweeney deserves some serious consideration for GM of the year.

He paid a low price to acquire 3 excellent, under-v…",CityOfChamps14,,,2021-05-01 23:59:59,
78,1388644399815434242,"May 1, 1958
#Cubs, Johnny Goryl hits a one-out ninth inning walk-off home run as Cubs defeat the Milwaukee Braves at Wrigley Field, 3-2.",MF6543,,,2021-05-01 23:59:59,Cubs
79,1388644399668768771,"RT @EmekaGift: Wow!, #BiafraNationNow is trending, keep pushing comrades, We shall make history tonight, we are talking to the world.  #Bia…",rebecca82077258,,,2021-05-01 23:59:59,BiafraNationNow
80,1388644399618437123,Lady @TheAJMendez - The #PhenomenalBlackWidow is that #Phenomenal @WWE Woman #Superstar who everyone looks up to be… https://t.co/1vV45cxvLM,TravisJonesWWE,,,2021-05-01 23:59:59,PhenomenalBlackWidow
81,1388644399551336450,RT @kwonhoshi_hosh: You know a song is literally a masterpiece and one of the most powerful and beautiful song to be ever created in the wh…,yslshua,,,2021-05-01 23:59:59,
82,1388644399484129294,RT @AlexBall12: This was by far one of the coolest experience of my life! Love working for @Genesys and seeing our brand showcased at such…,TXMotorSpeedway,,,2021-05-01 23:59:59,
